# Not yet referenced in source

# === game-logic ===
0040C460 FUN_0040c460

# === marni-dx11 ===

# === crt / seh-glue / d3d5-superseded / fmv-superseded / imports ===
004A9250 [crt-out-of-scope] xtoa
004A9310 [crt-out-of-scope] __snprintf
004A9400 [crt-out-of-scope] __vsnprintf
004A94F0 [crt-out-of-scope] _raise
004A9710 [crt-out-of-scope] siglookup
004A9780 [crt-out-of-scope] ___crtMessageBoxA
004A9860 [crt-out-of-scope] _strncpy
004A9960 [crt-out-of-scope] ___crtGetStringTypeA
004A9B00 [crt-out-of-scope] __getbuf
004A9BC0 [crt-out-of-scope] __isatty
004A9C10 [crt-out-of-scope] ___initstdio
004A9D70 [crt-out-of-scope] ___endstdio
004A9DA0 [crt-out-of-scope] _wctomb
004A9E70 [crt-out-of-scope] __aulldiv
004A9EE0 [crt-out-of-scope] __aullrem
004A9F60 [crt-out-of-scope] __dosmaperr
